Ticker,Composite_Grade,Valuation_Rank,Quality_Rank,Floor Tier,Status,Close Price,FCF_Yield,EV_EBITDA,NetDebt_EBITDA,Op_Margin,ROA,Sector
ZTS,82.8,65.7,100.0,🟢🟢 Deep Floor,Confirmed (Previous),77.1,0.06699333000700977,9.269,1.86,0.40721,0.15352,Healthcare
VRRM,80.9,87.3,74.5,🟢🟢 Deep Floor,Confirmed (Previous),4.43,0.0827843371015484,4.34,2.88,0.27168,0.09162,Technology
LULU,78.0,89.2,66.7,🟢🟢 Deep Floor,Confirmed (Previous),120.26,0.10001051289742587,5.132,0.32,0.13212,0.14401,Consumer Cyclical
ACN,76.4,83.3,69.6,🟢🟢 Deep Floor,Confirmed (Previous),189.76,0.10753189495941999,8.673,0.0,0.16964,0.10903,Technology
CTSH,76.0,81.4,70.6,🟢 Oversold Floor,Confirmed (Previous),64.58,0.08381864282690842,6.807,0.26,0.17479,0.10735,Technology
ADT,75.5,96.1,54.9,⚪ Standard (< 0),Confirmed (Previous),7.33,0.2506308300273271,4.647,2.87,0.24072,0.051799998,Industrials
VNT,70.1,77.5,62.7,⚪ Standard (< 0),Confirmed (Previous),32.19,0.0818329309915915,8.466,2.38,0.19387,0.0863,Technology
G,67.6,81.4,53.9,🟢 Oversold Floor,Confirmed (Previous),37.78,0.08418879664188582,7.496,1.02,0.15016,0.091759995,Technology
INTU,66.6,63.7,69.6,🟢🟢 Deep Floor,Confirmed (Previous),359.3,0.08132489315208684,11.585,0.18,0.17638999,0.1047,Technology
SONY,65.2,99.0,31.4,⚪ Standard (< 0),Confirmed (Previous),24.56,24.480582270095795,0.117,0.0,0.16721001,0.042529996,Technology
BR,65.2,54.9,75.5,🟢 Oversold Floor,Confirmed (Previous),181.26,0.06426246029265242,11.998,1.72,0.24609,0.09295,Technology
CMCSA,64.7,93.1,36.3,🟢 Oversold Floor,Confirmed (Previous),26.62,0.15959722680276817,4.768,2.43,0.17233999,0.043080002,Communication Services
EPAC,64.7,48.0,81.4,🟢 Oversold Floor,Confirmed (Previous),37.32,0.05584628555460674,12.208,0.44,0.2469,0.10475001,Industrials
INFY,64.2,43.1,85.3,🟢🟢 Deep Floor,Confirmed (Previous),12.06,0.0726365706199296,18.965,0.0,0.21173,0.15297,Technology
EPAM,63.7,88.2,39.2,🟢🟢 Deep Floor,Confirmed (Previous),117.83,0.11299179351261543,6.793,0.0,0.10936,0.08453,Technology
ADSK,63.2,38.2,88.2,⚪ Standard (< 0),Confirmed (Previous),258.53,0.06878998011457232,19.882,0.0,0.29228002,0.11472999,Technology
CPRT,60.3,37.3,83.3,🟢🟢 Deep Floor,Confirmed (Previous),32.99,0.03320193379592459,11.855,0.0,0.32011002,0.10268,Industrials
INGR,60.3,78.4,42.2,🟢🟢 Deep Floor,Confirmed (Previous),103.46,0.07405344262798041,6.071,0.72,0.12595001,0.07334,Consumer Defensive
BEKE,58.8,98.0,19.6,⚪ Standard (< 0),Confirmed (Previous),17.19,0.24108306059456672,-2.442,0.0,0.12332,0.02567,Real Estate
BAH,58.4,75.5,41.2,🟢 Oversold Floor,Confirmed (Previous),75.65,0.09382488247312504,10.195,2.88,0.09964,0.09193,Industrials
LDOS,58.3,72.5,44.1,⚪ Standard (< 0),Live (Unfinished),123.31,0.07409797745623574,8.966,2.45,0.11715999,0.089099996,Technology
OTIS,57.4,46.1,68.6,🟢🟢 Deep Floor,Confirmed (Previous),71.13,0.055419496538800066,12.971,3.04,0.15133001,0.14249,Industrials
SNY,56.9,66.7,47.1,🟢 Oversold Floor,Confirmed (Previous),44.36,0.06183989772285122,8.82,1.27,0.21033001,0.05093,Healthcare
RMD,56.8,22.5,91.2,⚪ Standard (< 0),Confirmed (Previous),240.1,0.02933346486842557,14.971,0.0,0.30857,0.14002,Healthcare
