Ticker,Composite_Grade,Valuation_Rank,Quality_Rank,Floor Tier,Status,Close Price,FCF_Yield,EV_EBITDA,NetDebt_EBITDA,Op_Margin,ROA,Sector
ZTS,82.9,66.7,99.1,🟢🟢 Deep Floor,Confirmed (Previous),77.1,0.06625674508271369,9.351,1.86,0.40721,0.15352,Healthcare
VRRM,81.5,88.0,75.0,🟢🟢 Deep Floor,Confirmed (Previous),4.43,0.07845126750596704,4.421,2.88,0.27168,0.09162,Technology
LULU,78.2,91.7,64.8,🟢🟢 Deep Floor,Confirmed (Previous),120.26,0.10343060990352142,4.973,0.32,0.13212,0.14401,Consumer Cyclical
ADT,75.0,95.4,54.6,⚪ Standard (< 0),Confirmed (Previous),7.33,0.23151493566194667,4.793,2.87,0.24072,0.051799998,Industrials
CTSH,74.5,79.6,69.4,🟢 Oversold Floor,Confirmed (Previous),64.58,0.0767313288424142,7.412,0.26,0.17479,0.10735,Technology
ACN,73.6,78.7,68.5,🟢🟢 Deep Floor,Confirmed (Previous),189.76,0.10131159238614211,9.206,0.0,0.16964,0.10903,Technology
VNT,70.8,79.6,62.0,⚪ Standard (< 0),Confirmed (Previous),32.19,0.07948040286237355,8.646,2.38,0.19387,0.0863,Technology
LOPE,69.4,51.9,87.0,⚪ Standard (< 0),Live (Unfinished),153.48,0.05143287705745059,10.534,0.0,0.22023001,0.20431,Consumer Defensive
EPAC,67.6,54.6,80.6,🟢 Oversold Floor,Confirmed (Previous),37.32,0.05791886567330536,11.787,0.44,0.2469,0.10475001,Industrials
G,66.2,78.7,53.7,🟢 Oversold Floor,Confirmed (Previous),37.78,0.07831892262664539,7.981,1.02,0.15016,0.091759995,Technology
SONY,65.3,99.1,31.5,⚪ Standard (< 0),Confirmed (Previous),24.56,23.442721625324968,0.12,0.0,0.16721001,0.042529996,Technology
CMCSA,64.4,92.6,36.1,🟢 Oversold Floor,Confirmed (Previous),26.62,0.1438171236129909,5.025,2.43,0.17233999,0.043080002,Communication Services
BR,63.4,51.9,75.0,🟢 Oversold Floor,Confirmed (Previous),181.26,0.06007263460345292,12.715,1.72,0.24609,0.09295,Technology
