Ticker,Composite_Grade,Valuation_Rank,Quality_Rank,Floor Tier,Status,Close Price,FCF_Yield,EV_EBITDA,NetDebt_EBITDA,Op_Margin,ROA,Sector
NVO,95.5,97.0,94.0,🟢 Strong Green (< -60),Live Strong Dot (Today),43.19,0.19744060985074957,1.649,0.55,0.42540002,0.18729,Healthcare
TROW,80.0,81.0,79.0,🟢 Strong Green (< -60),Live Strong Dot (Today),102.84,0.09225853003401352,6.857,0.0,0.28688,0.10659,Financial Services
CRI,79.5,96.0,63.0,🟢 Strong Green (< -60),Live Strong Dot (Today),29.69,0.22642310159367743,4.724,1.55,0.23683001,0.0694,Consumer Cyclical
GFF,76.5,74.0,79.0,🟢 Strong Green (< -60),Live Strong Dot (Today),93.02,0.10428625344787343,10.735,2.42,0.23589,0.14102,Industrials
BKE,72.5,73.0,72.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),40.06,0.06338694878770518,7.162,0.44,0.17448,0.16296,Consumer Cyclical
DECK,71.5,75.0,68.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),77.96,0.08027783581934676,7.342,0.0,0.15233,0.20319,Consumer Cyclical
EPAC,65.5,57.0,74.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),35.84,0.05611297205813591,12.152,0.44,0.2469,0.10475001,Industrials
WMS,63.0,48.0,78.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),126.84,0.034535124789674104,11.723,1.69,0.26325,0.10972,Industrials
MSA,62.5,47.0,78.0,🟢 Strong Green (< -60),Live Strong Dot (Today),178.7,0.04590368660305453,14.154,0.86,0.24591999,0.11071999,Industrials
WINA,60.5,22.0,99.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),294.87,0.031132946176803827,20.034,0.67,0.62101,0.78069997,Consumer Cyclical
CL,60.5,44.0,77.0,🟢 Strong Green (< -60),Live Strong Dot (Today),87.73,0.04945058738289064,15.386,1.29,0.20966,0.15838,Consumer Defensive
ALGN,60.5,65.0,56.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),150.45,0.05586180188137793,10.429,0.0,0.18247,0.07556,Healthcare
ALB,59.5,72.0,47.0,🟢 Strong Green (< -60),Live Strong Dot (Today),115.05,0.09828321095574744,11.088,0.25,0.2771,0.03165,Basic Materials
COLL,59.5,98.0,21.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),22.19,0.46707449149125974,4.484,2.69,0.05652,0.057550002,Healthcare
PTON,59.0,80.0,38.0,🟢 Strong Green (< -60),Live Strong Dot (Today),4.9,0.1645569058939814,10.515,2.0,0.14431,0.06374,Consumer Cyclical
ENS,58.5,70.0,47.0,🟢 Strong Green (< -60),Live Strong Dot (Today),175.68,0.0970116455280088,11.151,0.93,0.14028,0.078449994,Industrials
BRC,58.5,54.0,63.0,🟢 Strong Green (< -60),Live Strong Dot (Today),85.22,0.04170121205638371,11.316,0.0,0.19734,0.10428,Industrials
LII,58.0,36.0,80.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),361.04,0.02238005166930752,12.284,1.68,0.22856002,0.15994,Industrials
INGR,57.5,79.0,36.0,🟢 Strong Green (< -60),Live Strong Dot (Today),99.01,0.07323070985705575,6.131,0.72,0.12595001,0.07334,Consumer Defensive
MTX,57.0,86.0,28.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),68.92,0.1839078951350182,7.312,1.62,0.13603,0.051620003,Basic Materials
HAYW,56.8,65.0,48.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),12.93,0.0600193700176386,10.676,1.72,0.24106,0.05047,Industrials
APOG,55.5,88.0,23.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),37.69,0.13033236921334806,6.4,1.57,0.054970004,0.06237,Industrials
PHIN,54.5,88.0,21.0,🟢 Strong Green (< -60),Live Strong Dot (Today),62.0,0.11853079360557142,6.098,1.42,0.077659994,0.05235,Consumer Cyclical
LCII,52.5,85.0,20.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),87.11,0.12583295479822018,6.923,2.12,0.00543,0.06132,Consumer Cyclical
