Ticker,Composite_Grade,Valuation_Rank,Quality_Rank,Floor Tier,Status,Close Price,FCF_Yield,EV_EBITDA,NetDebt_EBITDA,Op_Margin,ROA,Sector
HRB,94.1,92.9,95.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),45.74,0.1105735382223804,6.595,1.11,0.3291,0.17401,Consumer Cyclical
VRRM,85.4,92.9,77.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),3.63,0.08044579291692702,4.382,2.88,0.27168,0.09162,Technology
PRG,85.3,98.4,72.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),37.38,1.0613873729383412,4.975,1.77,0.16605,0.15037,Industrials
MAS,80.2,73.0,87.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),69.41,0.06605118503671799,11.124,1.95,0.23645,0.15857,Industrials
KTB,79.4,91.3,67.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),67.42,0.12032153939802474,8.078,2.01,0.15482001,0.12722999,Consumer Cyclical
LULU,79.4,93.7,65.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),100.3,0.10545990342724765,4.884,0.32,0.13212,0.14401,Consumer Cyclical
BKNG,78.6,60.3,96.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),175.35,0.0600177488603087,12.718,0.36,0.34412,0.2038,Consumer Cyclical
GMED,75.4,75.4,75.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),75.77,0.05526462114587872,9.448,0.0,0.24755,0.08736,Healthcare
PNR,73.8,76.2,71.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),56.18,0.0618274739060641,10.345,1.62,0.2344,0.08663,Industrials
SSD,73.4,67.5,79.4,🟢 Strong Green (< -60),Live Strong Dot (Today),173.03,0.0629459960262051,12.235,0.0,0.24405001,0.098129995,Basic Materials
AOS,73.0,74.6,71.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),57.38,0.06231604921243189,10.556,0.63,0.18929,0.1254,Industrials
TILE,66.2,69.0,63.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),34.43,0.05215029793832939,9.53,0.91,0.18611,0.0934,Consumer Cyclical
HAYW,64.6,71.4,57.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),12.87,0.060678406794420964,10.579,1.72,0.24106,0.05047,Industrials
BRC,64.3,54.0,74.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),86.44,0.04162794065649219,11.336,0.0,0.19734,0.10428,Industrials
OTIS,61.6,54.8,68.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),70.18,0.05507969798031769,13.031,3.04,0.15133001,0.14249,Industrials
TAP,60.3,95.2,25.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),39.08,0.12771532412256567,5.919,2.56,0.11297,0.03793,Consumer Defensive
KVUE,60.3,61.9,58.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),17.91,0.055417942343227444,12.043,2.16,0.19418,0.06992,Consumer Defensive
ZWS,59.6,38.9,80.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),46.09,0.04212685268690905,16.824,0.4,0.31365,0.08741,Industrials
SFM,59.5,72.2,46.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),75.09,0.05820461429115571,10.367,2.23,0.074889995,0.103199996,Consumer Defensive
EXP,57.2,42.1,72.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),182.67,0.004520092851766762,10.15,2.22,0.21666999,0.09233,Basic Materials
